frequency,depth,salinity,temp,count_pixels,year,freq_file,depth_file
1,3.0 - 3.5,32.5 - 33.0,28.5 - 29.0,1239,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,3.0 - 3.5,32.5 - 33.0,29.0 - 29.5,374,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,3.0 - 3.5,32.5 - 33.0,no data avail,2021,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,3.0 - 3.5,33.0 - 33.5,28.5 - 29.0,13,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,3.0 - 3.5,33.0 - 33.5,no data avail,10,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,3.0 - 3.5,no data avail,no data avail,503,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,3.5 - 4.0,32.5 - 33.0,28.5 - 29.0,2530,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,3.5 - 4.0,32.5 - 33.0,29.0 - 29.5,2397,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,3.5 - 4.0,32.5 - 33.0,no data avail,2848,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,3.5 - 4.0,33.0 - 33.5,28.5 - 29.0,53,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,3.5 - 4.0,33.0 - 33.5,no data avail,12,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,3.5 - 4.0,no data avail,no data avail,380,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,4.0 - 4.5,32.5 - 33.0,28.5 - 29.0,5256,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,4.0 - 4.5,32.5 - 33.0,29.0 - 29.5,5517,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,4.0 - 4.5,32.5 - 33.0,no data avail,3743,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,4.0 - 4.5,33.0 - 33.5,28.5 - 29.0,174,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
1,4.0 - 4.5,33.0 - 33.5,no data avail,21,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_Batnas_Focal_35m.tif
